id,title,publication_date,doi,type,cited_by_count,source_name,authors,first_author_affiliations,is_oa,oa_status,oa_url,abstract,topics
https://openalex.org/W4408752864,Systemic contributions to global catastrophic risk,2025-03-23,https://doi.org/10.31235/osf.io/wcj9e_v4,preprint,0,,Constantin W. Arnscheidt; SJ Beard; Tom Hobson; Paul Ingram; Luke Kemp; Lara Mani; Alexandru Marcoci; Kennedy Mbeva; Seán Ó hÉigeartaigh; Anders Sandberg; Lalitha Sundaram; Nico Wunderling,,True,bronze,https://osf.io/wcj9e_v4/download,"Humanity faces a complex and dangerous global risk landscape, and many different terms and concepts have been used to make sense of it. One broad strand of research characterises how risk emerges from the complex global system, using concepts like systemic risk, Anthropocene risk, synchronous failure, negative social tipping points, and polycrisis. Another strand focuses on possible worst-case outcomes, using concepts like global catastrophic risk (GCR), existential risk, and extinction risk. Despite their clear relevance to each other, only limited connections have been made between these two strands. Here we provide a framework which synthesises the two and shows how emergent properties of the global system contribute to the risk of global catastrophic outcomes. Specifically, the global system generates hazards, amplification, vulnerability, and latent risk, as well as challenges for GCR assessment and mitigation. This systemic lens helps us understand the origins of GCR, provides a useful interface between two deeply related but infrequently connected bodies of work, and provides important insights for risk reduction.",Global Energy and Sustainability Research; Infrastructure Resilience and Vulnerability Analysis
https://openalex.org/W4408663772,Systemic contributions to global catastrophic risk,2025-03-13,https://doi.org/10.31235/osf.io/wcj9e_v2,preprint,0,,Constantin W. Arnscheidt; SJ Beard; Tom Hobson; Paul Ingram; Luke Kemp; Lara Mani; Alexandru Marcoci; Kennedy Mbeva; Seán Ó hÉigeartaigh; Anders Sandberg; Lalitha Sundaram; Nico Wunderling,,True,bronze,https://doi.org/10.31235/osf.io/wcj9e_v2,"Humanity faces a complex and dangerous global risk landscape, and many different terms and concepts have been used to make sense of it. One broad strand of research characterises how risk emerges within the complex global system, using concepts like systemic risk, Anthropocene risk, synchronous failure, negative social tipping points, and polycrisis. Another focuses on possible worst-case outcomes, using concepts like global catastrophic risk (GCR), existential risk, and extinction risk. Despite their clear relevance to each other, connections between these two strands remain limited. Here we provide a simple conceptual framework which synthesises these research strands and shows how emergent properties of the global system contribute to the risk of global catastrophic outcomes. In particular, we show that much GCR stems from the interaction of hazards and vulnerabilities which arise endogenously within the global system, and how “systems thinking” and complex adaptive systems (CAS) theory can help illuminate this. We also highlight some unique challenges which systemic sources of GCR pose for risk assessment and mitigation, discuss insights for policy, and outline potential paths forward.",Global Energy and Sustainability Research; Infrastructure Resilience and Vulnerability Analysis
https://openalex.org/W4408435983,Increasing countries&amp;#8217; financial resilience through global catastrophe risk pooling,2025-03-14,https://doi.org/10.5194/egusphere-egu25-7211,preprint,0,,Alessio Ciullo; Eric Strobl; Simona Meiler; Olivia Martius; David N. Bresch,,False,closed,,"Extreme weather events like tropical cyclones and floods severely impact economies, causing growth losses, tax revenue declines, and increased government debt due to short-term deficit financing. This challenge is particularly acute for countries with existing debt issues, which often rely on slow and uncertain foreign aid whose terms are typically agreed upon only ex-post. In contrast, ex-ante financial instruments, such as insurance and sovereign catastrophe risk pools, offer faster, more predictable funding while encouraging risk reduction and adaptation investments.Sovereign risk pools, such as the Caribbean Catastrophe Risk Insurance Facility (CCRIF), African Risk Capacity (ARC), and Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI), have proven valuable. However, they may not fully realize their financial resilience potential, as pooling within the same region can limit risk diversification. This presentation will introduce a method to design risk pools by maximizing diversification across countries regardless of region. Results show this approach consistently enhances risk diversification, more evenly distributes risk shares within the pool, and increases the number of benefiting countries.Related publication:Ciullo, A., Strobl, E., Meiler, S.&amp;#160;et al.&amp;#160;Increasing countries&amp;#8217; financial resilience through global catastrophe risk pooling.&amp;#160;Nat Commun&amp;#160;14, 922 (2023). https://doi.org/10.1038/s41467-023-36539-4",Insurance and Financial Risk Management; Agricultural risk and resilience
https://openalex.org/W4406569629,"Managing and mitigating future public health risks: Planetary boundaries, global catastrophic risk, and inclusive wealth",2025-01-18,https://doi.org/10.1111/risa.17703,article,0,Risk Analysis,Eoin McLaughlin; Matthias Beck,Heriot-Watt University,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/risa.17703,"There are two separate conceptualizations for assessing existential risks: Planetary Boundaries (PBs) and global catastrophic risks (GCRs). While these concepts are similar in principle, their underpinning literatures tend not to engage with each other. Research related to these concepts has tended to be siloed in terms of the study of specific threats and also in terms of how these are assumed to materialize; PBs attribute global catastrophes to slow-moving and potentially irreversible global changes, while GCRs focuses on cataclysmic short-term events. We argue that there is a need for a more unified approach to managing global long-term risks, which recognizes the complex and confounded nature of the interactions between PBs and GCRs. We highlight where the PB and GCR concepts overlap and outline these complexities using an example of public health, namely, pandemics and food insecurity. We also present an existing indicator that we argue can be used for monitoring and managing risk. We argue for greater emphasis on national and global ''inclusive wealth'' as a way to measure economic activity and thus to monitor and mitigate the unintended consequences of economic activity. In sum, we call for a holistic approach to stewardship aimed at preserving the integrity of natural capital in the face of a broad range of global risks and their respective regional or global manifestations.",Climate Change and Health Impacts
https://openalex.org/W4407410602,Historical Collapses,2025-02-12,https://doi.org/10.1680/978-1-83608-556-020251002,book-chapter,0,Emerald Publishing Limited eBooks,Richard Fish,,False,closed,,,Civil and Structural Engineering Research
https://openalex.org/W4407369335,Resilient foods for preventing global famine: a review of food supply interventions for global catastrophic food shocks including nuclear winter and infrastructure collapse,2025-02-11,https://doi.org/10.1080/10408398.2024.2431207,review,0,Critical Reviews in Food Science and Nutrition,Juan B. García Martínez; Jeffray Behr; Joshua M. Pearce; David Denkenberger,Galapagos (Belgium),True,hybrid,https://doi.org/10.1080/10408398.2024.2431207,"Global catastrophic threats to the food system upon which human society depends are numerous. A nuclear war or volcanic eruption could collapse agricultural yields by inhibiting crop growth. Nuclear electromagnetic pulses or extreme pandemics could disrupt industry and mass-scale food supply by unprecedented levels. Global food storage is limited. What can be done?. This article presents the state of the field on interventions to maintain food production in these scenarios, aiming to prevent mass starvation and reduce the chance of civilizational collapse and potential existential catastrophe. The potential for rapid scaling, affordability, and large-scale deployment is reviewed for a portfolio of food production methods over land, water, and industrial systems. Special focus is given to proposing avenues for further research and technology development and to collating policy proposals. Maintaining international trade and prioritizing crops for food instead of animal feed or biofuels is paramount. Both mature, proven methods (crop relocation, plant-residue- and grass–fed ruminants, greenhouses, seaweed, fishing, etc.) and novel resilient foods are characterized. A future research agenda is outlined, including scenario characterization, policy development, production ramp-up and economic analyses, and rapid deployment trials. Governments could implement national plans and task forces to address extreme food system risks, and invest in resilient food solutions to safeguard citizens against global catastrophic food failure.","Nuclear Issues and Defense; Environmental, Ecological, and Cultural Studies; Nuclear and radioactivity studies"
https://openalex.org/W4407846825,"The Cyclic Humanity Theory: Periodic Civilizational Collapse, Knowledge Keepers, and the Systematic Enslavement of Emerging Humanity",2025-01-01,https://doi.org/10.2139/ssrn.5077209,preprint,0,,Seha Ouml zbek,,False,closed,,,World Systems and Global Transformations
https://openalex.org/W4406916633,“Knowing Our Difference”: Class and the Literary Zombie,2025-01-28,https://doi.org/10.1215/00267929-11521190,article,0,Modern Language Quarterly,Sean McCann,,False,closed,,"Abstract In bringing literary sophistication to the zombie story, Colson Whitehead and Ling Ma also transformed the ideological core of the genre, changing it from a narrative of civilizational collapse and survival to a drama of professional-class status anxiety and status election. Although Whitehead and Ma emphasize the racial identity of their protagonists, the central concern of their novels lies in a vindication of class superiority, which the novels cast less as socioeconomic advantage than as spiritual endowment. In this way, their narratives function as allegories of the justification of social hierarchy that Pierre Bourdieu calls “sublimation.”","Gothic Literature and Media Analysis; Crime, Deviance, and Social Control; Modern American Literature Studies"
https://openalex.org/W4407740774,"Comparative Perspectives on Societal Decline: Ibn Khaldun, Toynbee, and Hegel",2025-01-17,https://doi.org/10.58355/historical.v3i4.163,article,0,HISTORICAL Journal of History and Social Sciences,Zhilwan Tahir; Abdulwahed Jalal Nuri,,False,closed,,"This article explores the nuanced theories of societal decline offered by Ibn Khaldun, Arnold Toynbee, and G.W.F. Hegel, each providing unique insights into the mechanisms of civilizational collapse. Ibn Khaldun’s concept of Asabiyyah underscores the role of social cohesion in sustaining a society, arguing that its weakening leads to internal fragmentation and eventual decline. On the other hand, Toynbee focuses on the failure of ruling elites to creatively respond to external challenges, such as environmental changes or military threats, viewing their rigidity as a critical factor in societal disintegration. Hegel presents a more philosophical perspective, framing decline as an integral phase in the dialectical process, where contradictions within a society propel it toward transformation and higher stages of development. By examining the interplay of moral, cultural, and political forces in these theories, the article sheds light on how different frameworks conceptualize rise and fall dynamics across civilizations, offering a comparative lens to understand historical patterns and contemporary challenges.",Seventeenth-Century Political and Philosophical Thought; Islamic Studies and History; Medieval and Classical Philosophy
https://openalex.org/W4407760016,"Quantitative, Data-driven Network Model for Global Cascading Financial
  Failure",2025-02-18,https://doi.org/10.48550/arxiv.2502.12980,preprint,0,arXiv (Cornell University),Łukasz G. Gajewski; Michael Hinge; David Denkenberger,,True,green,http://arxiv.org/pdf/2502.12980,"Global catastrophic risk events, such as nuclear war, pose a severe threat to the stability of international financial systems. As evidenced by even less severe scenarios like the Great Recession, an economic failure can propagate through the world trade network, wreaking havoc on the global economy. While the contemporary literature on cascading failure models addresses this issue qualitatively, a simple and intuitive quantitative estimation that could be used in integrated assessment frameworks is missing. In this study, we introduce a quantitative network model of global financial cascading failure. Our proposal is a fast, efficient, single free parameter model, following a straightforward logic of propagating failures. We fit the model to the Great Recession and test it against historical examples and commercial analysis. We also provide predictions for a hypothetical armed conflict between India and Pakistan. Our aim is to introduce a quantitative approach that could inform policy decisions by contextualising global catastrophic scenarios regarding financial losses and assessing the effectiveness of resilience strategies, complementing existing models and frameworks for broader risk assessment.",Insurance and Financial Risk Management
